GID	SYMBOL	GENENAME
aug_v2a.14962	v1g242212	Predicted protein
aug_v2a.17877	XRN1	5'-3' exoribonuclease 1
aug_v2a.02527	NCDN	Neurochondrin
aug_v2a.24413	ncbp1	Nuclear cap-binding protein subunit 1
aug_v2a.01958	Cnbd2	Cyclic nucleotide-binding domain-containing protein 2
aug_v2a.04033	Cnbd2	Cyclic nucleotide-binding domain-containing protein 2
aug_v2a.23699	Cnbd2	Cyclic nucleotide-binding domain-containing protein 2
aug_v2a.15776	Cnbd2	Cyclic nucleotide-binding domain-containing protein 2
aug_v2a.07077	serinc	Putative serine incorporator
aug_v2a.15161	STAB2	Stabilin-2
aug_v2a.16214	STAB2	Stabilin-2
aug_v2a.10146	Riok3	Serine/threonine-protein kinase RIO3
aug_v2a.18071	NOC2L	Nucleolar complex protein 2-like
aug_v2a.10965	v1g170196	Predicted protein
aug_v2a.10964	v1g170196	Predicted protein
aug_v2a.21468	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
aug_v2a.18438	PCTP	Phosphatidylcholine transfer protein
aug_v2a.19281	Btk29A	Tyrosine-protein kinase Btk29A
aug_v2a.04921	RASAL1	RasGAP-activating-like protein 1
aug_v2a.09668	TCB1	Tricalbin-1
aug_v2a.18606	Rasa1	Ras GTPase-activating protein 1
aug_v2a.19602	CASP3	Caspase-3
aug_v2a.17917	MTR	Methionine synthase
aug_v2a.12400	FEM1C	Protein fem-1-like C
aug_v2a.07033	RAB14	Ras-related protein Rab-14
aug_v2a.22804	SNX8	Sorting nexin-8
aug_v2a.13003	Vti1b	Vesicle transport through interaction with t-SNAREs-like 1B
aug_v2a.11144	SNX8	Sorting nexin-8
aug_v2a.23313	Wdr91	WD repeat-containing protein 91
aug_v2a.01049	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate
aug_v2a.20642	chmp2b	Charged multivesicular body protein 2b
aug_v2a.11002	PRR5	Proline-rich protein 5
aug_v2a.07143	v1g158093	Predicted protein
aug_v2a.14981	gchfr	GTP cyclohydrolase 1 feedback regulatory protein
aug_v2a.13395	GRK5	G protein-coupled receptor kinase 5
aug_v2a.18985	Apeh	Acylamino-acid-releasing enzyme
aug_v2a.12986	SYK	Tyrosine-protein kinase SYK
aug_v2a.05806	Nelfa	Negative elongation factor A
aug_v2a.15290	CHPF	Chondroitin sulfate synthase 2
aug_v2a.09315	Xrcc4	DNA repair protein XRCC4
aug_v2a.22208	Cdkl5	Cyclin-dependent kinase-like 5
aug_v2a.04467	NFKB1	Nuclear factor NF-kappa-B p105 subunit
aug_v2a.10927	elp2	Elongator complex protein 2
aug_v2a.16363	elp2	Elongator complex protein 2
aug_v2a.21602	WIPI2	WD repeat domain phosphoinositide-interacting protein 2
aug_v2a.13045	Hdlbp	Vigilin
aug_v2a.13044	Hdlbp	Vigilin
aug_v2a.16009	Ltv1	Protein LTV1-like
aug_v2a.07024	Gnmt	Glycine N-methyltransferase
aug_v2a.17005	LOC106162565	small nuclear ribonucleoprotein F
aug_v2a.06862	snrpd3	Small nuclear ribonucleoprotein Sm D3
aug_v2a.03078	SmB	Small nuclear ribonucleoprotein-associated protein B
aug_v2a.07351	Cfp1	CXXC-type zinc finger protein 1
aug_v2a.05644	Cfp1	CXXC-type zinc finger protein 1
aug_v2a.04978	Cfp1	CXXC-type zinc finger protein 1
aug_v2a.22196	Cfp1	CXXC-type zinc finger protein 1
aug_v2a.19835	WDR77	Methylosome protein 50
aug_v2a.18577	v1g139250	Predicted protein (Fragment)
aug_v2a.08263	SSRP1	FACT complex subunit SSRP1
aug_v2a.10792	AP1AR	AP-1 complex-associated regulatory protein
aug_v2a.22616	Clec16a	Protein CLEC16A
aug_v2a.09112	v1g244041	Predicted protein
aug_v2a.10901	SLC6A19	Sodium-dependent neutral amino acid transporter B(0)AT1
aug_v2a.07213	Rpe	Ribulose-phosphate 3-epimerase
aug_v2a.10384	Rpe	Ribulose-phosphate 3-epimerase
aug_v2a.10101	MOV10L1	Putative helicase Mov10l1
aug_v2a.24022	Pde11a	"Dual 3',5'-cyclic-AMP and-GMP phosphodiesterase 11A"
aug_v2a.03649	Dcp1b	mRNA-decapping enzyme 1B
aug_v2a.09207	RUNX1	Runt-related transcription factor 1
aug_v2a.11633	FL82_21867	Uncharacterized protein (Fragment)
aug_v2a.05126	DRG2	Developmentally-regulated GTP-binding protein 2
aug_v2a.05213	v1g170313	Predicted protein
aug_v2a.22507	Eps8	Epidermal growth factor receptor kinase substrate 8
aug_v2a.10287	FANCI	Fanconi anemia group I protein
aug_v2a.19360	Nup160	Nuclear pore complex protein Nup160
aug_v2a.18623	Nup160	Nuclear pore complex protein Nup160
aug_v2a.11676	SPSB3	SPRY domain-containing SOCS box protein 3
aug_v2a.09203	MDN1	Midasin
aug_v2a.07607	MDN1	Midasin
aug_v2a.09204	MDN1	Midasin
aug_v2a.23458	v1g172658	Predicted protein
aug_v2a.11582	B3GALNT1	"UDP-GalNAc:beta-1, 3-N-acetylgalactosaminyltransferase 1"
aug_v2a.18156	TRIM45	Tripartite motif-containing protein 45
aug_v2a.21566	TRIM45	Tripartite motif-containing protein 45
aug_v2a.21569	TRIM45	Tripartite motif-containing protein 45
aug_v2a.22727	Trim45	Tripartite motif-containing protein 45
aug_v2a.18157	TRIM45	Tripartite motif-containing protein 45
aug_v2a.03087	TRIM45	Tripartite motif-containing protein 45
aug_v2a.00897	Trim71	E3 ubiquitin-protein ligase TRIM71
aug_v2a.13055	Vps13c	Vacuolar protein sorting-associated protein 13C
aug_v2a.08355	STARD10	PCTP-like protein
aug_v2a.01419	Xpnpep1	Xaa-Pro aminopeptidase 1 (Fragment)
aug_v2a.23255	Xpnpep1	Xaa-Pro aminopeptidase 1 (Fragment)
aug_v2a.14568	ASMTL	N-acetylserotonin O-methyltransferase-like protein
aug_v2a.07389	ASMTL	N-acetylserotonin O-methyltransferase-like protein
aug_v2a.06186	ACOT11	Acyl-coenzyme A thioesterase 11
aug_v2a.17066	MAT1A	S-adenosylmethionine synthase isoform type-1
aug_v2a.14869	MTMR14	Myotubularin-related protein 14
aug_v2a.12810	MTMR14	Myotubularin-related protein 14
aug_v2a.07039	arhgap26	Rho GTPase-activating protein 26
aug_v2a.24694	arhgap26	Rho GTPase-activating protein 26
aug_v2a.04338	arhgap26	Rho GTPase-activating protein 26
aug_v2a.03062	ndor1	NADPH-dependent diflavin oxidoreductase 1
aug_v2a.10892	PPM1E	Protein phosphatase 1E
aug_v2a.04935	MTHFR	Methylenetetrahydrofolate reductase
aug_v2a.12360	ACO1	Cytoplasmic aconitate hydratase
aug_v2a.09402	Ppat	Amidophosphoribosyltransferase
aug_v2a.19330	AWC38_SpisGene10244	Uncharacterized protein
aug_v2a.02893	LYPLAL1	Lysophospholipase-like protein 1
aug_v2a.05882	v1g180858	Predicted protein
aug_v2a.21328	AREL1	Apoptosis-resistant E3 ubiquitin protein ligase 1
aug_v2a.14937	AREL1	Apoptosis-resistant E3 ubiquitin protein ligase 1
aug_v2a.18289	AREL1	Apoptosis-resistant E3 ubiquitin protein ligase 1
aug_v2a.10752	FBXO30	F-box only protein 30
aug_v2a.23184	Gatsl3	GATS-like protein 3
aug_v2a.05435	CKMT2	"Creatine kinase S-type, mitochondrial"
aug_v2a.18330	v1g242832	Predicted protein
aug_v2a.09681	CRYZ	quinone oxidoreductase isoform X2
aug_v2a.13972	v1g165393	Predicted protein
aug_v2a.16043	Akr7a2	Aflatoxin B1 aldehyde reductase member 2
aug_v2a.16042	Akr7a2	Aflatoxin B1 aldehyde reductase member 2
aug_v2a.05505	SCPEP1	Retinoid-inducible serine carboxypeptidase
aug_v2a.05504	Scpep1	Retinoid-inducible serine carboxypeptidase
aug_v2a.24118	hgo	"Homogentisate 1,2-dioxygenase"
aug_v2a.13312	gmppa	Mannose-1-phosphate guanyltransferase alpha
aug_v2a.15200	gmppa	Mannose-1-phosphate guanyltransferase alpha
aug_v2a.15745	ENDOD1	Endonuclease domain-containing 1 protein
aug_v2a.06970	alpha-Spec	Spectrin alpha chain
aug_v2a.21233	Sptan1	"Spectrin alpha chain, non-erythrocytic 1"
aug_v2a.14417	PSMA2	Proteasome subunit alpha type-2
aug_v2a.16708	PSMD2	26S proteasome non-ATPase regulatory subunit 2
aug_v2a.14687	v1g238967	Predicted protein
aug_v2a.15092	ALDH8A1	Aldehyde dehydrogenase family 8 member A1
aug_v2a.18350	PGD	"6-phosphogluconate dehydrogenase, decarboxylating"
aug_v2a.12056	DAK	Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (Cyclizing)
aug_v2a.09734	Glo1	Lactoylglutathione lyase
aug_v2a.05500	SNUPN	Snurportin-1
aug_v2a.07697	SPR	Sepiapterin reductase
aug_v2a.12820	Psmb6	Proteasome subunit beta type-6
aug_v2a.01116	PNPO	Pyridoxine-5'-phosphate oxidase
aug_v2a.09491	Cndp2	Cytosolic non-specific dipeptidase
aug_v2a.10119	CB1_000121009	Acetyl-Coenzyme A carboxylase alpha isoform 1 isoform 1-like protein
aug_v2a.11944	GK3P	Putative glycerol kinase 3
aug_v2a.00073	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase
aug_v2a.05852	Decr1	"2,4-dienoyl-CoA reductase, mitochondrial"
aug_v2a.17628	ETFB	Electron transfer flavoprotein subunit beta
aug_v2a.18179	Osbpl1a	Oxysterol-binding protein-related protein 1
aug_v2a.08607	Osbpl1a	Oxysterol-binding protein-related protein 1
aug_v2a.01197	LAP3	Cytosol aminopeptidase
aug_v2a.21299	v1g175414	Predicted protein
aug_v2a.08236	Psmb2	Proteasome subunit beta type-2
aug_v2a.01551	PRRC2A	Protein PRRC2A
aug_v2a.06776	KMO	Kynurenine 3-monooxygenase
aug_v2a.06365	ACP5	Tartrate-resistant acid phosphatase type 5
aug_v2a.06366	ACP5	Tartrate-resistant acid phosphatase type 5
aug_v2a.22032	SLC35F6	Solute carrier family 35 member F6
aug_v2a.08413	v1g161336	Predicted protein
aug_v2a.19432	Htra3	Serine protease HTRA3
aug_v2a.01761	NAPEPLD	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D
aug_v2a.24215	TSTA3	GDP-L-fucose synthase
aug_v2a.10351	Cbr1	Carbonyl reductase [NADPH] 1
aug_v2a.10301	Cbr1	Carbonyl reductase [NADPH] 1
aug_v2a.19039	Ercc1	DNA excision repair protein ERCC-1
aug_v2a.00794	Ispd	Isoprenoid synthase domain-containing protein
aug_v2a.06350	ADSL	Adenylosuccinate lyase
aug_v2a.03493	ADSL	Adenylosuccinate lyase
aug_v2a.23594	RINT1	RAD50-interacting protein 1
aug_v2a.04300	NBAS	Neuroblastoma-amplified sequence
aug_v2a.08722	TAF4	Transcription initiation factor TFIID subunit 4
aug_v2a.01861	Bap18	Chromatin complexes subunit BAP18
aug_v2a.10238	Arid1a	AT-rich interactive domain-containing protein 1A
aug_v2a.05647	nlrc4	NLR family CARD domain-containing protein 4
aug_v2a.19429	Nlrc3	Protein NLRC3
aug_v2a.02543	NLRC3	Protein NLRC3
aug_v2a.05709	AWC38_SpisGene10752	Uncharacterized protein
aug_v2a.08530	LUC7L2	Putative RNA-binding protein Luc7-like 2
aug_v2a.04673	LUC7L2	Putative RNA-binding protein Luc7-like 2
aug_v2a.06462	LUC7L2	Putative RNA-binding protein Luc7-like 2
aug_v2a.14064	LUC7L2	Putative RNA-binding protein Luc7-like 2
aug_v2a.18224	LUC7L2	Putative RNA-binding protein Luc7-like 2
aug_v2a.18443	nlrc4	NLR family CARD domain-containing protein 4
aug_v2a.14060	nlrc4	NLR family CARD domain-containing protein 4
aug_v2a.22254	nlrc4	NLR family CARD domain-containing protein 4
aug_v2a.20746	nlrc4	NLR family CARD domain-containing protein 4
aug_v2a.02950	nlrc4	NLR family CARD domain-containing protein 4
aug_v2a.19397	nlrc4	NLR family CARD domain-containing protein 4
aug_v2a.00347	nlrc4	NLR family CARD domain-containing protein 4
aug_v2a.05876	nlrc4	NLR family CARD domain-containing protein 4
aug_v2a.00313	nlrc4	NLR family CARD domain-containing protein 4
aug_v2a.03109	nlrc4	NLR family CARD domain-containing protein 4
aug_v2a.12719	NLRC3	Protein NLRC3
aug_v2a.21394	LUC7L2	Putative RNA-binding protein Luc7-like 2
aug_v2a.21196	LUC7L2	Putative RNA-binding protein Luc7-like 2
aug_v2a.00312	LUC7L2	Putative RNA-binding protein Luc7-like 2
aug_v2a.05877	LUC7L2	Putative RNA-binding protein Luc7-like 2
aug_v2a.20083	LUC7L2	Putative RNA-binding protein Luc7-like 2
aug_v2a.03770	LUC7L2	Putative RNA-binding protein Luc7-like 2
aug_v2a.23855	LUC7L2	Putative RNA-binding protein Luc7-like 2
aug_v2a.12514	cefD	Isopenicillin N epimerase
aug_v2a.13621	KIF14	Kinesin-like protein KIF14
aug_v2a.22017	KIF14	Kinesin-like protein KIF14
aug_v2a.21426	LOC108936852	glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2-like isoform X2
aug_v2a.09744	GEMIN6	Gem-associated protein 6
aug_v2a.20615	GEMIN8	Gem-associated protein 8
aug_v2a.19032	ppip5k2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2
aug_v2a.12086	Itfg2	Integrin-alpha FG-GAP repeat-containing protein 2
aug_v2a.06452	Depdc5	DEP domain-containing protein 5
aug_v2a.06451	Depdc5	DEP domain-containing protein 5
aug_v2a.07966	vps51	Vacuolar protein sorting-associated protein 51-like
aug_v2a.05149	v1g115608	Predicted protein
aug_v2a.15354	v1g87088	Predicted protein (Fragment)
aug_v2a.21570	TDRD12	Putative ATP-dependent RNA helicase TDRD12
aug_v2a.10503	cct4	T-complex protein 1 subunit delta
aug_v2a.04306	CCT7	T-complex protein 1 subunit eta
aug_v2a.11235	CCT7	T-complex protein 1 subunit eta
aug_v2a.22483	CCT2	T-complex protein 1 subunit beta
aug_v2a.12183	CCT2	T-complex protein 1 subunit beta
aug_v2a.06139	TCP1	T-complex protein 1 subunit alpha
aug_v2a.02464	CCT8	T-complex protein 1 subunit theta
aug_v2a.17096	Gng11	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11
aug_v2a.07577	AWC38_SpisGene14281	Guanine nucleotide-binding protein G(S) subunit alpha
aug_v2a.06307	RPL7	60S ribosomal protein L7
aug_v2a.24249	Dap3	"28S ribosomal protein S29, mitochondrial"
aug_v2a.17827	MRPL21	"39S ribosomal protein L21, mitochondrial"
aug_v2a.10806	RPL3	60S ribosomal protein L3
aug_v2a.02276	Fau	40S ribosomal protein S30
aug_v2a.23098	Fau	40S ribosomal protein S30
aug_v2a.07081	rpl31	60S ribosomal protein L31
aug_v2a.23194	rps21	40S ribosomal protein S21
aug_v2a.11514	AWC38_SpisGene18886	Uncharacterized protein
aug_v2a.05075	MRPL28	"39S ribosomal protein L28, mitochondrial"
aug_v2a.07660	MRPL2	"54S ribosomal protein L2, mitochondrial"
aug_v2a.22926	MRPL2	"54S ribosomal protein L2, mitochondrial"
aug_v2a.04051	RPL14	60S ribosomal protein L14
aug_v2a.09931	Rps7	40S ribosomal protein S7
aug_v2a.19037	RpL18	60S ribosomal protein L18
aug_v2a.00055	RpL36	60S ribosomal protein L36
aug_v2a.14967	ORF22752	Uncharacterized protein (Fragment)
aug_v2a.04647	rpl4b	60S ribosomal protein L4-B
aug_v2a.10345	Rps19	40S ribosomal protein S19
aug_v2a.14235	AWC38_SpisGene16351	40S ribosomal protein S3a
aug_v2a.13196	rpp-2	60S acidic ribosomal protein P2
aug_v2a.09198	RpS10	40S ribosomal protein S10
aug_v2a.07045	rpl24	60S ribosomal protein L24
aug_v2a.09223	Mrpl46	"39S ribosomal protein L46, mitochondrial (Fragment)"
aug_v2a.02894	Mrpl46	"39S ribosomal protein L46, mitochondrial (Fragment)"
aug_v2a.00462	rplP	50S ribosomal protein L16
aug_v2a.24414	rpsK	30S ribosomal protein S11
aug_v2a.11104	FAM103A1	RNMT-activating mini protein
aug_v2a.21815	RNMT	mRNA cap guanine-N7 methyltransferase
aug_v2a.17113	RNMT	mRNA cap guanine-N7 methyltransferase
aug_v2a.21517	CPSF4	Cleavage and polyadenylation specificity factor subunit 4
aug_v2a.01038	Zc3h3	Zinc finger CCCH domain-containing protein 3
aug_v2a.10624	v1g191927	Predicted protein
aug_v2a.22006	v1g191927	Predicted protein
aug_v2a.07542	Cpsf2	Cleavage and polyadenylation specificity factor subunit 2
aug_v2a.20511	Cpsf2	Cleavage and polyadenylation specificity factor subunit 2
aug_v2a.13091	CPSF1	Cleavage and polyadenylation specific factor 1
aug_v2a.01114	AWC38_SpisGene20973	Protein CLP1-like
aug_v2a.04778	AWC38_SpisGene3182	Eukaryotic translation initiation factor 3 subunit M
aug_v2a.17475	AWC38_SpisGene14582	Eukaryotic translation initiation factor 3 subunit I
aug_v2a.03938	AWC38_SpisGene20528	Eukaryotic translation initiation factor 3 subunit L
aug_v2a.18928	AWC38_SpisGene20528	Eukaryotic translation initiation factor 3 subunit L
aug_v2a.01559	AWC38_SpisGene8038	Eukaryotic translation initiation factor 3 subunit G
aug_v2a.13968	AWC38_SpisGene8038	Eukaryotic translation initiation factor 3 subunit G
aug_v2a.21852	AWC38_SpisGene14639	Eukaryotic translation initiation factor 3 subunit E
aug_v2a.05627	AWC38_SpisGene14639	Eukaryotic translation initiation factor 3 subunit E
aug_v2a.07896	eif3c	Eukaryotic translation initiation factor 3 subunit C
aug_v2a.12164	eif3c	Eukaryotic translation initiation factor 3 subunit C
aug_v2a.22614	Eif3b	Eukaryotic translation initiation factor 3 subunit B
aug_v2a.06831	EPB41L5	Band 4.1-like protein 5
aug_v2a.06028	Ptpn21	Tyrosine-protein phosphatase non-receptor type 21
aug_v2a.23835	CPAMD8	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8
aug_v2a.09740	CPAMD8	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8
aug_v2a.21151	Farp2	"FERM, RhoGEF and pleckstrin domain-containing protein 2"
aug_v2a.05369	CSRP3	Cysteine and glycine-rich protein 3
aug_v2a.16661	kbp	KIF1-binding protein-like
aug_v2a.22902	kbp	KIF1-binding protein-like
aug_v2a.09326	ARHGAP39	Rho GTPase-activating protein 39
aug_v2a.01522	KP79_PYT24141	Kalirin
aug_v2a.23460	v1g245915	Predicted protein
aug_v2a.00415	Ctnnal1	Alpha-catulin
aug_v2a.00241	AWC38_SpisGene4121	Uncharacterized protein
aug_v2a.22956	CCDC6	Coiled-coil domain-containing protein 6
aug_v2a.16189	INPPL1	"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2"
aug_v2a.06736	DOCK1	Dedicator of cytokinesis protein 1
aug_v2a.17222	DOCK1	Dedicator of cytokinesis protein 1
aug_v2a.17051	Frmd8	FERM domain-containing protein 8
aug_v2a.23917	Frmd8	FERM domain-containing protein 8
aug_v2a.01514	Ptk2	Focal adhesion kinase 1
aug_v2a.19478	Ptk2	Focal adhesion kinase 1
aug_v2a.01513	Ptk2	Focal adhesion kinase 1
aug_v2a.05399	Stk36	Serine/threonine-protein kinase 36
aug_v2a.09264	Stk36	Serine/threonine-protein kinase 36
aug_v2a.08733	Frmd5	FERM domain-containing protein 5
aug_v2a.06362	Sgce	Epsilon-sarcoglycan
aug_v2a.11314	FRMPD4	FERM and PDZ domain-containing protein 4
aug_v2a.23577	Nos1	"Nitric oxide synthase, brain"
aug_v2a.21239	Kalrn	Kalirin
aug_v2a.05440	Dnah1	"Dynein heavy chain 1, axonemal"
aug_v2a.13172	BRAFLDRAFT_83261	Uncharacterized protein
aug_v2a.23043	BRAFLDRAFT_83261	Uncharacterized protein
aug_v2a.20566	v1g161999	Predicted protein
aug_v2a.23251	v1g161999	Predicted protein
aug_v2a.04026	Dnah1	"Dynein heavy chain 1, axonemal"
aug_v2a.08374	Dnah1	"Dynein heavy chain 1, axonemal"
aug_v2a.23992	DNAH6	"Dynein heavy chain 6, axonemal"
aug_v2a.20059	DNAH6	"Dynein heavy chain 6, axonemal"
aug_v2a.17637	DNAH6	"Dynein heavy chain 6, axonemal"
aug_v2a.23991	DNAH6	"Dynein heavy chain 6, axonemal"
aug_v2a.01751	DNAH6	"Dynein heavy chain 6, axonemal"
aug_v2a.17907	DNAH6	"Dynein heavy chain 6, axonemal"
aug_v2a.23990	DNAH6	"Dynein heavy chain 6, axonemal"
aug_v2a.09165	DNHD1	Dynein heavy chain domain-containing protein 1
aug_v2a.03861	UY3_18423	"Dynein heavy chain 8, axonemal"
aug_v2a.04563	DNAH5	"Dynein heavy chain 5, axonemal"
aug_v2a.20061	DNAH5	"Dynein heavy chain 5, axonemal"
aug_v2a.19543	v1g171736	Predicted protein
aug_v2a.16938	DNAH1	"Dynein heavy chain 1, axonemal"
aug_v2a.16551	DNAH1	"Dynein heavy chain 1, axonemal"
aug_v2a.23386	DNAH1	"Dynein heavy chain 1, axonemal"
aug_v2a.14403	DNAH1	"Dynein heavy chain 1, axonemal"
aug_v2a.22672	BRAFLDRAFT_114741	Uncharacterized protein
aug_v2a.16595	Y1Q_0013063	Uncharacterized protein
aug_v2a.07267	DHC10	"Dynein-1-beta heavy chain, flagellar inner arm I1 complex"
aug_v2a.08694	Dnah5	"Dynein heavy chain 5, axonemal"
aug_v2a.14963	H355_014506	Uncharacterized protein
aug_v2a.08488	DNAH3	"Dynein heavy chain 3, axonemal"
aug_v2a.00947	DNAH3	"Dynein heavy chain 3, axonemal"
aug_v2a.08156	DNAH3	"Dynein heavy chain 3, axonemal"
aug_v2a.08154	DNAH3	"Dynein heavy chain 3, axonemal"
aug_v2a.03498	DNAH3	"Dynein heavy chain 3, axonemal"
aug_v2a.18355	v1g235331	Predicted protein
aug_v2a.08854	Wdr78	WD repeat-containing protein 78
aug_v2a.21046	Wdr78	WD repeat-containing protein 78
aug_v2a.21838	Myh10	Myosin-10
aug_v2a.06577	FHOD3	FH1/FH2 domain-containing protein 3
aug_v2a.07554	DYNLRB2	Dynein light chain roadblock-type 2
aug_v2a.07564	Dynlrb2	Dynein light chain roadblock-type 2
aug_v2a.15264	v1g88125	Predicted protein
aug_v2a.23755	dctn1	Dynactin subunit 1
aug_v2a.12010	TCP11L1	T-complex protein 11-like protein 1
aug_v2a.08737	stau2	Double-stranded RNA-binding protein Staufen-like 2
aug_v2a.17897	Kif12	Kinesin-like protein KIF12
aug_v2a.17768	KIF2A	Kinesin-like protein KIF2A
aug_v2a.11722	KIFC3	Kinesin-like protein KIFC3
aug_v2a.07185	nusap1	Nucleolar and spindle-associated protein 1
aug_v2a.00695	Cep162	Centrosomal protein of 162 kDa
aug_v2a.17047	ttc30a	Tetratricopeptide repeat protein 30A
aug_v2a.16748	RPGRIP1L	Protein fantom
aug_v2a.07471	RPGRIP1L	Protein fantom
aug_v2a.10873	Reep2	Receptor expression-enhancing protein 2
aug_v2a.02622	tmem214-b	Transmembrane protein 214-B
aug_v2a.03602	Clip2	CAP-Gly domain-containing linker protein 2
aug_v2a.05421	tchp	Trichoplein keratin filament-binding protein
aug_v2a.18790	bin3	Bridging integrator 3-like
aug_v2a.05302	Sh2b2	SH2B adapter protein 2
aug_v2a.00625	v1g208259	Predicted protein (Fragment)
aug_v2a.01380	Vps16	Vacuolar protein sorting-associated protein 16-like
aug_v2a.17977	AVIL	Advillin
aug_v2a.19457	Gas2	Growth arrest-specific protein 2
aug_v2a.13950	v1g184098	Predicted protein
aug_v2a.18517	v1g181966	Predicted protein
aug_v2a.00648	FMN1	Formin-1
aug_v2a.07175	Amotl1	Angiomotin-like protein 1
aug_v2a.09156	MYO6	Unconventional myosin-VI
aug_v2a.11652	FMN2	Formin-2
aug_v2a.04683	IQGAP1	Ras GTPase-activating-like protein IQGAP1
aug_v2a.00702	FKBP15	FK506-binding protein 15
aug_v2a.19320	FKBP15	FK506-binding protein 15
aug_v2a.14162	FKBP15	FK506-binding protein 15
aug_v2a.15660	TMOD1	Tropomodulin-1
aug_v2a.16940	INPPL1	"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2"
aug_v2a.07455	fimA	Fimbrin
aug_v2a.21596	TREES_T100011100	Plastin-1
aug_v2a.06747	v1g164461	Predicted protein
aug_v2a.06841	Rac1	Ras-related C3 botulinum toxin substrate 1
aug_v2a.02831	MYO1B	Unconventional myosin-Ib
aug_v2a.17343	Arpc3	Actin-related protein 2/3 complex subunit 3
aug_v2a.06922	Arpc2	Actin-related protein 2/3 complex subunit 2
aug_v2a.18147	v1g102847	Predicted protein
aug_v2a.10568	actr2-b	Actin-related protein 2-B
aug_v2a.04436	Arpc5	Actin-related protein 2/3 complex subunit 5
aug_v2a.07563	scn4ab	Sodium channel protein type 4 subunit alpha B
aug_v2a.10103	scn4ab	Sodium channel protein type 4 subunit alpha B
aug_v2a.19886	scn4ab	Sodium channel protein type 4 subunit alpha B
aug_v2a.04412	Nup133	Nuclear pore complex protein Nup133
aug_v2a.08352	AWC38_SpisGene10738	Putative phosphorylase b kinase regulatory subunit alpha
aug_v2a.10590	v1g139527	Non-specific serine/threonine protein kinase
aug_v2a.09090	DIRAS2	GTP-binding protein Di-Ras2
aug_v2a.09089	RASD1	Dexamethasone-induced Ras-related protein 1
aug_v2a.07824	v1g204358	Predicted protein
aug_v2a.10254	v1g229235	Predicted protein
aug_v2a.13389	RAB9A	Ras-related protein Rab-9A
aug_v2a.18892	COS41.2	Putative Ras-related protein Rab-33
aug_v2a.10757	Mrc2	C-type mannose receptor 2
aug_v2a.03585	lgals3bpa	Galectin-3-binding protein A
aug_v2a.12238	Colec12	Collectin-12
aug_v2a.20338	Llgl1	Lethal(2) giant larvae protein-like 1
aug_v2a.16224	AWC38_SpisGene11015	Leucine-rich repeat protein soc-2-like
aug_v2a.10016	KCNK1	Potassium channel subfamily K member 1
aug_v2a.15699	Shaw	Potassium voltage-gated channel protein Shaw
aug_v2a.15698	Shaw	Potassium voltage-gated channel protein Shaw
aug_v2a.12798	Shaw	Potassium voltage-gated channel protein Shaw
aug_v2a.16449	Shaw	Potassium voltage-gated channel protein Shaw
aug_v2a.01216	Shaw	Potassium voltage-gated channel protein Shaw
aug_v2a.20902	AWC38_SpisGene19216	Uncharacterized protein
aug_v2a.15044	AWC38_SpisGene12192	Universal stress protein A-like protein
aug_v2a.15697	AWC38_SpisGene14662	Universal stress protein A-like protein
aug_v2a.16847	ppsC	Phthiocerol synthesis polyketide synthase type I PpsC
aug_v2a.16843	ppsC	Phthiocerol synthesis polyketide synthase type I PpsC
aug_v2a.01534	PPP1R16B	Protein phosphatase 1 regulatory inhibitor subunit 16B
aug_v2a.23309	Vha26	V-type proton ATPase subunit E
aug_v2a.06718	Efr3b	Protein EFR3-like B
aug_v2a.13896	FAT4	Protocadherin Fat 4
aug_v2a.01727	Kctd3	BTB/POZ domain-containing protein KCTD3
aug_v2a.07849	Kctd3	BTB/POZ domain-containing protein KCTD3
aug_v2a.16571	CTRB2	Chymotrypsinogen B2
aug_v2a.07264	TMPRSS9	Transmembrane protease serine 9
aug_v2a.04973	aplnr-b	Apelin receptor B
aug_v2a.06547	QRFPR	Pyroglutamylated RFamide peptide receptor
aug_v2a.19630	Tacr2	Substance-K receptor
aug_v2a.01796	TkR99D	Tachykinin-like peptides receptor 99D
aug_v2a.01565	MC1R	Melanocyte-stimulating hormone receptor
aug_v2a.00253	ADRB2	Beta-2 adrenergic receptor
aug_v2a.05256	Znrf3	E3 ubiquitin-protein ligase ZNRF3
aug_v2a.10235	Trpc5	Short transient receptor potential channel 5
aug_v2a.12750	Kcnh6	Potassium voltage-gated channel subfamily H member 6
aug_v2a.02320	KCNH7	Potassium voltage-gated channel subfamily H member 7
aug_v2a.08359	Kcnh6	Potassium voltage-gated channel subfamily H member 6
