GenBank Nucleotide Accession	GenBank Protein Accession
BC027851	AAH43348; EAW59275; CAA07577; ; AAH53530; O75695; BAG35452; ANZ79619; NP_008846
BC017000	NP_001310463; AAL67778; AAH67770; XP_016864545; NP_001070667; EAW51328; CAH10414; XP_016864544; NP_001257421; NP_001310462; EAW51331; AAH47322; ; BAD92931; AAI12344; NP_001310456; NP_001310458; EAW51330; XP_011541473; NP_631907; EAW51329; Q8WXA9; BAG52411; NP_001310464
BC033938	
R64146	-
BC026164	EAX03799; ; BAD32740; EAX03798; Q6BDS2; AAI37121; AAI37128; CAE45788; NP_060224
AI208948	-
BC034233	EAW56514; 
AW298153	-
BC018040	; XP_024308027; XP_006724342; XP_011528569; XP_011528570; AAI19800; XP_011528568; XP_024308026; NP_001305263; AAI27256; XP_011528565; XP_011528572; NP_001017437; XP_006724341; Q569K6; XP_006724343; XP_011528571; NP_001305264; AAH92419
BE348270	-
BC037823	AAH37823
BC015237	-
BC036397	-
BE044263	-
BC036461	AAH36461
AI301081	-
BC031274	
BC009525	
AA903184	-
BC020585	
BC036119	AAH36119
BC034816	EAX02236; BAB14480; AAH15728; XP_011520233; XP_016878005; XP_016878007; XP_024305795; BAD96300; XP_011520236; XP_011520238; XP_024305796; XP_011520241; EAX02238; BAG51147; XP_011520231; XP_011520245; NP_001275545; BAB14144; BAF84379; XP_011520229; XP_011520234; XP_011520243; XP_016878001; EAX02235; Q5W5X9; XP_016878000; XP_016878004; XP_024305797; NP_001275544; EAX02234; XP_011520235; XP_011520239; XP_011520242; XP_011520246; XP_016877999; NP_001340798; ; EAX02237; EAX02239; AAQ03215; XP_011520232; XP_011520237; XP_016877998; XP_016878002; XP_016878003
BC040178	BAG61233; BAH14398; BAH14696; XP_011527078; ; BAG61624; AAH36716; XP_016883295; NP_056481; EAW75388; NP_001371277; EAW75386; XP_016883297; NP_001371276; EAW75387; Q9H4K7; BAA91783; BAG61197; CAB55963; XP_016883294; XP_024307637; XP_016883296
BC035101	
BC028401	
BC039387	AAH39387
BC029493	; AAH57800; AAD40879; NP_009130; AAH69388; BAG60819; BAG36749; NP_001135995; EAW97164; Q9Y616
BC039325	
BC017771	; EAW75090; XP_016873593; AAH14573; EAW75091; AAG14948; AAH20783; AAI07756; XP_005274211; XP_005274213; XP_005274216; Q9GZT6; AAG44793; CAB66725; XP_016873592; NP_001273045; NP_001273047; EAW75088; EAW75089; BAG51599; NP_001273048; NP_001273049; NP_068597; NP_001273046; AAG14960; BAG65524; BAG38133
BC034633	AAH34633
AI015847	-
BC035190	; NP_056235; EAW91883; Q9NV06; AAH26067; AAI12043; AAF29036; BAG50961; BAA91955; BAB55377; AAI01811; EAW91879; BAC11163; EAW91882; EAW91880; EAW91881
BC036668	A6NNM8; EAX02095; NP_001382946; ; BAG54607; EAX02094
BC032030	
BC034314	-
BC017718	-
BC010531	-
BC037891	-
BC009635	
BC033952	-
BC034007	
BC038201	
AI028608	
BC012591	EAW60948; EAW60951; EAW60952; BAF82694; AAS15047; XP_016880132; XP_024306518; NP_005890; NP_114068; ABA29216; ABA29219; BAH12580; AAH09808; ; ABA29213; EAW60953; AAF74119; EAW60947; Q14596; XP_024306517; ABA29231; EAW60950; XP_016880133; ABA29225; ABF14461; EAW60946; EAW60949; AAA93228; ABA29228; CAA54274; XP_011523115; ABA29210; ABA29222; BAH13002; BAA06417; XP_006721966; XP_016880131; NP_001278500; NP_001278501
BC013247	-
BC023215	AAM90955; AAN60791; AAI50194; XP_016877097; CCQ43930; EAW81024; CAC40984; NP_489479; EAW81019; EAW81023; P57103; AAN60790; CAD48420; XP_006720303; NP_150287; ; EAW81025; EAW81026; CAC40985; CAG33740; AAI42970; AAI50184; XP_016877096; XP_016877099; EAW81018; CAG33739; BAG53321; NP_892114; EAW81020; EAW81022; AAN60792; XP_016877095; EAW81021; BAG53692; CAD66570; XP_016877098; NP_891977; NP_891981; XP_016877100; NP_001123889
BC024736	
BC035148	-
R83290	-
BC039307	AAH39307
BC033531	-
BC034805	EAW81485; EAW81487; Q8NFF2; BAG58108; XP_011534742; XP_024305246; AAM76072; AAH69653; XP_005267399; XP_011534740; XP_011534741; AAM76071; CAD38903; XP_011534738; EAW81488; EAW81489; AAM76070; BAC04715; NP_705933; NP_705934; ; EAW81486; BAG58227; XP_011534739; NP_001365549; NP_705932
BC032557	
BC034288	
BC010705	EAX01497; AAH24227; EAX01500; EAX01499; NP_660330; Q8TB69; BAD92654; ; EAX01498
BQ027856	-
AW207471	-
BC025309	EAW86059; AAP30852; BAH11953; XP_016872383; XP_016872387; NP_001339498; NP_001288182; NP_001339505; NP_001339515; NP_001339516; EAW86060; EAW86063; BAH14266; NP_001035938; NP_001258441; NP_001339504; NP_001339510; NP_001339513; ; EAW86061; Q5T8D3; BAC02705; AAH30555; XP_016872376; XP_016872377; XP_016872393; NP_001339497; NP_001339506; NP_001339512; BAH11793; XP_016872385; NP_001288180; NP_001288183; NP_001339500; NP_001339508; EAW86062; XP_016872374; XP_016872382; XP_016872391; XP_016872394; NP_001339502; NP_001339517; XP_016872373; XP_016872389; XP_016872390; NP_001288181; NP_001339499; NP_001339503; NP_001339511; BAG51918; CAB61388; XP_016872378; XP_024304017; NP_001339501; NP_001339509; NP_663736; XP_016872379; XP_016872384; XP_024304016; NP_001339507; NP_001339514
BC039501	-
BC033663	AAH33663
BC035223	EAW74832; EAW74835; Q96E66; NP_001138781; ACF40879; Q8WZ04; ACF40880; EAW74833; NP_001138782; EAW74834; AAL55772; BAH13802; ; NP_001138780
BC032649	-
BC032854	AAH00859; NP_001349597; NP_055192; ; AAH62703; AAI25058; AAI39752; XP_011514331; XP_011514332; NP_001349596; EAW83329; Q99543; EAW83330; NP_001123359; CAA66913; XP_016867457
BC033567	
BC036195	
BC013582	AAH13582
BC037540	
BC033373	
BC022029	AAH22029
BC036607	
BC033773	
BC033560	
BC031218	AAH31218
BC028968	-
BC014866	-
BC034720	
BC030750	
BC021736	
BU626388	-
BC039386	
BC018432	EAW79894; AAH57238; NP_071355; Q9H649; AAH20602; ; BAB15417; EAW79893; AAQ13600; XP_024309467
BC042544	XP_016865898; XP_016865899; XP_016865904; AAI26195; XP_016865901; XP_016865903; NP_859528; CBH30660; AAP72128; AAI26199; XP_016865902; ; AAR21109; Q6U736; EAX04324; AAO85127; XP_016865900; XP_016865905
BC033528	-
BC035173	BAB47461; AAH63706; ; EAW66682; CAD19439; Q8WWL2; CAD39070; AAI11031; EAW66680; EAW66681; BAG52954; AAI39733; NP_115827
BC035187	
BC036484	-
BC035181	
BC037863	EAW81485; EAW81487; Q8NFF2; BAG58108; XP_011534742; XP_024305246; AAM76072; AAH69653; XP_005267399; XP_011534740; XP_011534741; AAM76071; CAD38903; XP_011534738; EAW81488; EAW81489; AAM76070; BAC04715; NP_705933; NP_705934; ; EAW81486; BAG58227; XP_011534739; NP_001365549; NP_705932
BC034312	-
BC026173	AAH26173
BC039103	CCQ43924; NP_001295230; XP_006721397; Q32MK0; ; EAW82687; NP_872299; BAG70269; CAC42766; AAI09098; BAH13034
AF289611	AAL55795
BC029586	CAE90233; EAW86695; EAW86697; EAW86698; XP_011515891; AAH25676; XP_016869317; NP_001350902; XP_024303042; EAW86692; Q9HAE3; BAB13906; BAH14408; XP_024303040; NP_001136329; XP_011515893; XP_024303039; EAW86693; EAW86696; XP_024303038; XP_024303041; NP_078869; ; EAW86694; NP_001350903; BAG61576; XP_005251360; XP_016869316
BC026113	-
BC034636	-
CA424969	-
AI033393	-
AA884987	-
BC021746	
BC018065	-
BC022884	-
BC027960	AAD00081; EAW71031; Q92835; AAC50453; CAA67071; ; NP_001017915; EAW71029; AAH62985; AAB53573; AAI13581; XP_016859493; BAG60823; NP_005532; EAW71030; AAH99920; AAI13583; AAC50454; AAB49680
BM042439	-
AL530743	-
BG403486	-
BE877775	-
BC035510	; P16150; BAF85315; AAB59540; NP_001025459; AAA51949; NP_003114; BAG36490; CAA36294; EAW80015; AAH12350; EAW80016
BC034624	AAH34624
BE564868	-
BC025319	; ACF19422
BC019871	AAC51363; EAW47517; AAH39713; XP_016866888; XP_024302344; ; XP_016866886; EAW47512; EAW47513; EAW47514; O00584; AAH01660; AAH51912; XP_016866887; EAW47511; EAW47516; EAW47518; AAH01819; EAW47515; CAD12030; CAD12032; EAW47519; XP_024302343; CAD12031; BAG37854; NP_003721
BM547346	-
BC037911	-
BI547087	-
AF305815	AAK55518
BC012843	EAW93551; ; EAW93553; BAB71609; EAW93552
BC009757	BAB14579; BAB14791; BAG63673; BAG64267; AAH01337; NP_001269695; EAW58280; BAC03629; EAW58281; Q9GZS1; ; AAH14331; CAG33594; BAG62895; NP_071935
BC035419	CBH19426; BAG52074; AAH08405; NP_998798; EAW57176; EAW57177; CAA34956; ; AAF91489; NP_001263424; AAD28499; EAW57174; AAL55790; XP_016882486; AAA75294; AAH63127; AAA60208; AAA60195; EAW57175; Q00888; AAA75295; XP_016882490; NP_001303268; NP_002771; XP_016882491
AF318323	AAL55830
AL541655	-
BG541677	-
BC015604	-
BC016813	
BC025967	-
BC033148	AAD16712; CAC06666; CAJ57182; ABF20464; ABI74163; BBE36542; QEP11691; QEP12014; QEP14009; QEP23287; QEP27272; QIV65325; QKY76095; QYF06423; ; CAC06655; ABI74002; AHX01661; QEP12180; QEP19220; QIV65353; QKK35863; BAC01614; BAH04785; CAC29419; AAY33437; AIE56993; AKU38967; QDF62266; QEP11596; QEP12273; QEP14155; QEP24084; QEP26825; QKK35521; EAW53962; AAK94846; AKH36511; QEP10760; QEP11458; QEP11635; QEP11972; QEP12472; QEP13833; QEP13982; QEP19398; QEP22881; QEP26619; BAH04842; AAD16759; AAK94817; QEP13709; QEP19558; QIV65444; QWS71024; AKU38960; AMK70500; QEP10930; QEP23451; QEP27401; QEP27465; QOP57643; BAU69770; CAB44480; QDJ57971; QEP12151; QEP12175; QEP27540; QIV65323; AAZ13663; ABI74080; BBI28104; QEP10392; QEP11571; QEP11593; QEP11937; QEP12075; QEP12163; QEP23793
BC020686	AAH20686
BC040952	AAI13659; NP_001308307; ABY87551; O00443; BAG57666; BAG61438; CAA73797; NP_001308309; ; BAG65126; NP_002636; AGC09601; CAB69383; XP_016873413; NP_001373799; EAW68447
BC020935	
BC041029	O94988; XP_005262740; XP_005262741; XP_016863123; XP_005262738; XP_006714120; XP_016863120; EAX06028; BAG60526; XP_016863113; XP_016863122; NP_055698; XP_005262739; XP_016863114; XP_016863119; XP_024309638; NP_001252507; NP_001252509; CCO13728; EAX06029; BAA74937; AAH86875; XP_011529821; XP_016863115; XP_016863117; NP_001252508; ; XP_011529818; XP_011529819; SPT35754; CAE18110; XP_016863116; XP_016863118; XP_016863121; BAC03636; BAG59483; AAH63126; XP_011529820; NP_001015045
AA442226	-
BC034716	XP_016867793; AAS02030; AAD42865; BAH11464; AAN01355; AAO14547; XP_016867797; XP_024302567; NP_001372285; AAC82474; EAW54000; EAW54002; AAH46354; XP_024302566; NP_001372282; NP_057202; ; NP_001230280; NP_001350458; EAL24511; EAW54001; Q9Y5A7; AAK21001; NP_001372290; CAD34862; EAW54003; NP_001372283; NP_001372284
BC033767	
BC019258	EAL24257; EAW93787; XP_011513392; CAP40171; O00425; AAC35208; XP_006715702; CAE45883; ; EAW93786; AAD09828; CAH56186; NP_006538; AAH65269; AAD09223; XP_011513393; XP_011513394; XP_011513391; XP_011513395
BC019620	-
BC029855	AAH29855
AA632139	-
BC035102	-
BC021204	AAH21204
BG105639	-
AV686550	-
BC010121	AAL04402; EAW47607; ; AAF16870; AAK56918; CAA58674; CAA58675; CAA62977; BAG62499; AAB35664; AAB35665; CAA68395; NP_000867; AAA59866; AAD14337; AAP37954; CAA58673; BAD92905; CAA58672; P11717
BG110196	-
BC022285	EAW55946; BAG57275; AAH54475; XP_024301949; AEZ00567; AAA50428; ; BAG58584; AAH37310; NP_001160167; NP_001276869; NP_004163; AEZ00566; P43003; BAG58087; NP_001160168; AAY28724; XP_005248399; NP_001276868; CAA83507; EAW55945; XP_024301950; BAG35230; BAA05462; XP_011512386
BC031805	CAE11622; EAW93267; AAQ89449; BAA13448; XP_016856732; NP_001310993; BAC04810; BAH12416; XP_006711367; ; AAB00324; XP_011507815; NP_940953; CAH05393; BAF83024; NP_001310992; Q5JRA6; AAH47116; AAZ95512; NP_001287796; NP_001310991; NP_001310994
BC026889	EAW70133; AAH43347; ; AAL73493; AAH15995; AAX88853; AAD41475; EAW70132; Q9Y5Q9; BAG37262; CAB70745; NP_001193703; NP_036218; EAW70134; BAB15638; XP_005247022
BC033549	XP_024309044; Q86VI3; ; BAC85501; XP_024309041; NP_839943; EAW52946; BAC78211; AAI31537; XP_011507500; EAW52947; XP_011507503; XP_024309043; EAW52945; XP_024309042; CDH92866; AAP06954; XP_011507502
BC018945	
BC027487	; BAF84033; A8K5M9; NP_001123920
BC032024	-
BC020604	EAW52080; XP_005266613; CAD97894; BAB14950; ACC94142; NP_001139543; EAW52081; AAH30514; XP_005266617; XP_024305187; XP_024305185; XP_024305186; NP_001139542; EAW52082; AAH60876; XP_016876266; NP_110421; ; EAW52079; Q9H7E2; XP_024305184
U66692	-
BC033232	-
BI553230	-
BE791720	-
AF318359	AAL55866
BG697644	-
BC000856	
BC024303	
BC039458	-
BC016366	
BU508386	-
BC015784	
U66691	; BAH12450; ABD90529; P78363; AAC05632; BAG63198; AAC51144; AAC23915; NP_000341; EAW73056; BAE06122; AAP33155; BAG63224; EAW73058; CAA75729; EAW73057; CAH10486; BAG58635
BE646227	-
BI087313	-
BQ433060	-
BC028160	AAD38880; CAI46129; EAW64860; AAP14679; AAH08213; ; EAW64856; Q86UQ0; BAD92624; AAH06247; EAW64857; EAW64859; BAG60921; EAW64858; AAD38879; EAW64855; AAH05859; NP_057173; AAH48798
BC040649	XP_005245680; EAW91499; AAD16237; ; EAW91500; BAG63238; AAD50120; Q9UN79; AAC83687; AAF23875; BAG65072; BAG65551; AAI06039; NP_005677
AW020413	-
BC011742	-
BC029905	AAF28888; EAW51254; BAF85256; NP_037518; Q6NUK1; CAF04058; BAH14675; EAW51255; AAH68561; BAG65052; ; NP_998816; AAH14519; CAF04493; BAH14877
BC033241	
BC030276	AAH30276
BC026272	AAH26272
BC021142	-
BC016013	; AAH24188; BAG36323; ALQ34358; EAW68858; NP_776185; EAW68860; CAI46184; XP_005264802; EAW68859; Q5JPI3; BAG60073; ALQ34359
BC015723	EAW96039; AAH36047; Q6UWY0; AAW66667; AAI30330; AAH50392; CAH25966; EAW96040; BAH14624; AAQ88959; ; BAG64796; CAD38634; NP_937793; XP_005271961
BC031487	-
BC032780	-
BC042071	AAH70112; ; Q6NSI3; EAW82581; BAC86205; XP_011511706; XP_011511707; NP_001013644; NP_001167541; XP_011511705; NP_001284364; XP_016863291; XP_024309680; EAW82582; XP_005248005; XP_011511704
BC024217	AAH24217
BC029800	; AAF18573; XP_011512068; XP_011512070; NP_001341754; ABX44665; AAD56250; AFK29754; AFK29755; NP_001341757; NP_001317681; NP_001317682; BAE46508; AAD51615; XP_011512071; NP_037393; EAW92811; Q9UBK2; AFK29756; NP_001341755; AAF19083; AAY41058; BAH13576; AFK29753; XP_011512073; NP_001317680; BAH12392; AFK29757; XP_005248188; XP_005248189; XP_005248191; NP_001341756; EAW92812; ADW77180; XP_024309646
BC029514	AAH63407; EAX08846; CAA12136; NP_001007279; AAK51624; EAX08848; O60858; AAG53500; BAG37096; AAR31110; ; CCQ43336; EAX08844; EAX08847; CAD38633; AAO38979; AAH03579; AAK13059; CBH19816; EAX08845; AAG53501; AAF91315; AAV51406; ABE41638; NP_005789; NP_434698; NP_998755
BC018787	A8MQ03; NP_945352; ; AAH52297
BC020441	AAI43044; AAI43045; NP_001012279; EAW48100; ; Q5TF21; NP_001382858; NP_001382855; AAI27761; NP_001382852; NP_001382853; NP_001382857; NP_001382854
BE891071	-
BC023629	-
AI675308	-
BC037359	NP_001071092; NP_001382764; NP_001382769; NP_001382771; Q147U1; NP_001382767; ; NP_001382760; NP_001340728; NP_001340729; NP_001382761; BAG53503; BAF82225; NP_001340727; NP_001382759; NP_001382766; NP_001382772; NP_001382763; NP_001382765; AAI18577; NP_001382762; NP_001382768; NP_001382770
BC033138	-
BC013250	-
BC039434	-
BC034416	-
BC010180	D6REC4; ; XP_024309814; NP_001180211; BAC86400
BC035123	Q86WS5; ; AAH48112; NP_872365; EAW58152; EAW58153; AEE61118
BC035610	EAW67067; XP_011541079; EAW67069; P48058; BAD92329; AAI42655; XP_005271575; XP_016873098; NP_001106283; EAW67066; DAJ12194; ACR45953; XP_011541077; XP_024304223; NP_001070712; EAW67068; AAH45546; AEQ93811; XP_016873099; XP_016873100; NP_001070711; AAI50210; AAA95962; BAD23796; XP_011541078; XP_024304222; NP_000820; ; AAI14550; AAI46817; ACR45952; XP_006718886
BC017896	-
BM976038	-
BC032237	AAI05970; CAA40855; P24386; AAP15253; XP_016884735; NP_001349446; BAC04640; NP_001307888; AAH73987; AAI30497; AAA61032; CAA55011; NP_000381; ; AAD13814; BAF83849; NP_001349447; CAV30743; EAW98559; XP_024308099; NP_001138886; BAG61331; AAI30495; NP_001349448; AAH65702; AAD14934; XP_016884731
BM128772	-
BC021806	-
AF289605	AAL55789
BC014677	Q96NL6; XP_016863206; NP_001287826; AAH64428; AAI21058; AAI28052; AAI21059; NP_001287827; NP_653244; XP_016863208; XP_016863210; BAB70876; XP_016863205; XP_016863207; EAX05168; XP_016863209; ; EAX05167; EAX05169
BC016785	AAH17970; Q6ZT77; AAH22411; 
BC017989	-
BC028406	-
AL708039	-
BF847120	-
BC005276	-
BI520471	-
BC017872	EAW97777; XP_011536434; EAW97774; AAH33617; XP_005268824; XP_016874618; EAW97775; BAG36762; EAW97776; Q8N4U5; XP_011536431; XP_011536433; CCQ43870; XP_011536432; XP_016874621; EAW97778; XP_005268825; NP_001273191; EAW97779; XP_016874622; NP_689985; ; XP_016874616; XP_016874619; XP_016874620
BC020895	-
BE562302	-
BC036220	; XP_011528477; NP_001277935; Q6ZQY2; XP_016884286; EAX02907; XP_011528478; XP_011528476; XP_011528479; BAC87547; XP_011528475
BC036404	
BC031013	-
BC021582	AAH33286; XP_011534006; XP_011534009; ; BAG64585; XP_011534012; XP_016866171; XP_016866173; XP_011534008; XP_011534011; XP_016866172; NP_001273337; EAW48395; XP_011534005; XP_016866174; XP_016866176; NP_932347; EAW48394; BAC04198; XP_016866166; XP_016866167; XP_016866168; XP_016866175; EAW48396; XP_016866177; NP_001273338; CAH05521; EAW48393; Q8N228; BAB84951; XP_016866169; XP_016866170
BC015101	-
AI362687	-
BC033052	-
BC020837	AAI36719; BAC04764; AAH70372; EAW84866; BAB14093; BAG58708; P35789; AAA83548; AAD22981; EAW84865; NP_112495; EAW84867; ; AAI07582; AAI36720
BM680082	-
BC038534	Q6P047; CBH19230; AAI32855; AAI32853; ; NP_001035121; AAH65837; XP_024302859; EAW65593
BC040378	-
BC018672	AAH15664; EAW75041; BAF83555; ; XP_011543655; XP_016874049; AAH09859; AAH09995; AAQ13616; AAH06369; DAA05723; Q96HW7; AAH08013; XP_011543654; NP_291025
BC015675	; Q6ZT52; BAC86742; NP_997217; AAI42687; AAI42611
BC042925	EAW51535; EAW51536; EAW51538; AAL99920; BAC85141; CAG33040; XP_006722127; AAI11565; XP_006722133; XP_011523484; AAH21906; XP_006722126; XP_006722128; NP_005883; EAW51534; CAA07870; ACR19333; XP_011523481; ; AAP32476; XP_006722132; XP_011523482; O95466; AAH09000; AAH01710; AAH73988; EAW51537; XP_006722125; XP_006722129
BI825547	-
BC036049	AAH36049
AF318321	AAL55828
BC013370	CAI93583; 
BC031077	AAH31077
BM912471	-
BC028568	
BC010388	Q8NEB9; EAX01426; XP_011524333; AAH53651; BAG60721; AAH33004; ; CAA87094; NP_001294949; NP_002638
BC033249	-
BC037942	-
BC014134	-
BC038574	AAA58672; XP_006722943; XP_011526567; NP_003421; XP_016882724; Q05481; XP_011526568; XP_024307461; EAW84940; BAF83945; AAA59469; NP_001287880; ; XP_016882725; BAH13252
BC017932	; EAW54793; XP_016874156; XP_016874157; XP_016874155; A8MT65; NP_001264220
BC017942	
BC039587	EAX09070; AAH51813; NP_060163; AAH75084; AAH75085; AAI12340; NP_001153068; AAM45761; BAG65226; Q86UB2; BAA90986; ; BAF83347
BC032004	AAH32004
BC015342	; BAC03395; BAG54684; BAC85584
BC015435	; Q5TA31; AAH00821; NP_001010858; AAH12758; AAH64481
BC029469	-
BC029463	
BG718733	-
BC017394	EAW66910; XP_011541349; EAW66906; EAW66908; XP_005274425; XP_011541355; XP_016873960; XP_016873961; XP_016873962; XP_016873964; EAW66907; BAB71582; XP_005274423; XP_011541350; XP_011541351; XP_011541352; ; EAW66909; BAC05264; XP_005274424; NP_203753; BAB21822; BAC04502; XP_024304512; Q9C0D2; BAC04638; XP_016873959; XP_016873963; XP_016873965
BG396993	-
BC040412	
BC038430	
AF322648	AAL33884
BC038589	-
BE383308	-
BC032484	
BC009590	-
BC037856	; EAW84859; BAF82346
CA391618	-
BC029914	-
BC009626	
BU853579	-
BC034231	-
BC025734	
BC016684	-
BC022563	
BC015881	AAH15881
BC032417	Q2M3M2; ; EAX06859; XP_011539230; XP_011539231; BAG54749; AAI04864; AAI43573; XP_011539226; XP_011539227; XP_011539229; XP_016856047; BAG58877; XP_011539228; EAX06858; AAI04858; NP_001128653; EAX06857; AAI43571; NP_001011547
BC044305	
BM468397	
BC032660	EAW94145; NP_000159; AAP21869; CAB59315; AAI13617; XP_016867486; AAS02015; EAL24002; AAS01998; EAW94144; AAA52564; P10071; AAI17169; XP_011513576; ; BAG61313
BC013942	
BC026007	-
BC017420	; BAC04480
BG272041	-
BC014859	; XP_016866482; EAW48397; EAW48398; BAC03537; AAI13967; XP_005267099; XP_016866483; XP_011534222; XP_011534225; A7XYQ1; EAW48399; AAH91526; XP_016866480; NP_060483; XP_005267098; XP_011534223; ABF72848; XP_016866481
BC030251	EAX04852; BAB14338; NP_001310845; Q9P278; XP_005263215; NP_001332972; ; NP_065891; XP_016863976; XP_024309929; BAA95974; AAH07861; NP_001353772; XP_005263217; AAH16638
BC030223	AAC05804; AAH36654; XP_011544293; EAW50287; NP_001310498; NP_001310499; EAW50288; BAG62153; CAH18111; XP_011544294; XP_016879397; NP_001310500; NP_001310501; NP_055526; NP_001310505; ; O43303; BAA24849; NP_001185951; NP_001310506
BC033534	-
BC019877	-
BC028018	XP_041536491; 
BC041127	BAH14484; Q13740; AAI37097; ABF48406; NP_001618; ; EAW79757; NP_001230209; EAW79755; BAC87059; AAH57809; ABF48405; NP_001230210; NP_001230212; EAW79756; BAG62102; AAB59499; BAG63255; BAG51401; AAV28819; AAI37098; CAA71256
BC035861	BAB33326; CAG30233; ; EAW59882
BC038737	EAW56731; AAI17220; XP_011524840; XP_016881871; ; EAW56729; XP_011524841; NP_001317411; XP_006723111; XP_016881868; AAV97944; XP_016881865; XP_016881866; EAW56728; EAW56730; XP_006723109; XP_006723110; AAA61321; BAF82676; Q5MCW4; XP_016881869; NP_689697
BC014481	
BC035793	XP_016863996; NP_001166127; AAI37310; XP_006713967; XP_016863997; ; BAB13469; XP_006713963; XP_011511842; XP_016863999; NP_001166129; BAH14855; NP_001166128; EAW82529; AAH41866; AAH53664; XP_016863991; XP_016863992; XP_016863998; EAW82528; Q9HCC9; BAG54362; BAH11593; BAH11855; BAH11908; XP_006713965; XP_016863993; NP_001166131; AAI37311; XP_011511843; XP_016863994; XP_016863995; NP_001166130; NP_066023
BC033695	Q96AG4; AAF69611; NP_060979; EAW94615; ; AAH17168; EAW94616; AAH52279; BAG38180
AV723391	-
BC032616	EAW64967; AAH61697; Q6ZUJ4; BAC86231; AAH23586; AAH53629; ; NP_940964
BC029435	
BC031220	EAW91703; BAG52959; NP_001135773; BAG52507; CAI45999; ALQ34285; ALQ34287; XP_011515665; BAG60037; ALQ34286; Q5HYA8; ; EAW91701; EAW91702; XP_024303094; AAH32835; XP_006716749; NP_714915
BC019241	
BC015447	-
BC032605	XP_016863996; NP_001166127; AAI37310; XP_006713967; XP_016863997; ; BAB13469; XP_006713963; XP_011511842; XP_016863999; NP_001166129; BAH14855; NP_001166128; EAW82529; AAH41866; AAH53664; XP_016863991; XP_016863992; XP_016863998; EAW82528; Q9HCC9; BAG54362; BAH11593; BAH11855; BAH11908; XP_006713965; XP_016863993; NP_001166131; AAI37311; XP_011511843; XP_016863994; XP_016863995; NP_001166130; NP_066023
BC019007	AAI50181; NP_060098; CAE45851; XP_006714305; XP_016863808; BAB55391; XP_024309871; ; AAI10510; Q6N021; CAX30492; EAX06177; EAX06178; EAX06179; BAE45750; BAA90898; AAI10511; XP_005263139; XP_024309870; BAB13372; AAI50202; NP_001120680
BC028053	-
BC033525	-
BC023578	AAC79843; AAH98394; ; AAC79844; BAG63428; NP_003738; AAC79841; BAG63250; EAW65579; EAW65580; BAD92576; BAG63806; XP_011542147; XP_006716326; XP_011542148; O95271; AAC79842
BC034484	BAG37802; XP_024307559; NP_001308099; Q9NZ01; AAC39872; AAF32373; AAH02425; AAH07801; AAP35843; XP_024307566; XP_024307567; EAW84434; BAG50909; XP_024307565; EAW84435; BAG52813; ; ADO22433; XP_011526744; XP_024307560; XP_024307561; XP_024307563; XP_024307564; AAH00174; XP_024307568; NP_612510; AAC39873; AAH05952; XP_024307558; BAG61186; AAH13881; CAG33173; XP_006723008; XP_024307562
BC014404	EAW77614; 
BC014531	
BI856437	-
BC027967	BAG36713; AAS00607; AAI26290; XP_011518875; NP_001193939; NP_001287659; AAS00606; CBX47387; EAW96132; AAI26292; ; Q5QGZ9; AAR84594; NP_963917; AAT11783; XP_006719099; XP_011518873; EAW96133; XP_006719098; NP_612210; CAI45358; AAL95693; AAS00605; AAH63424; XP_006719096; XP_005253381; XP_011518872
BC014430	EAW57479; Q99687; XP_011525438; XP_024307385; AAM09846; XP_016882500; XP_024307381; XP_024307382; XP_024307383; NP_001009813; NP_064545; BAF82639; BAD92692; AAH25404; EAW57478; EAW57480; EAW57482; XP_024307380; NP_001333077; EAW57483; AAH45741; AAH69251; XP_024307384; ; EAW57481; NP_001287988
BC016631	
BC030256	
BC039401	-
BC036308	-
BC016012	-
BC037812	-
BC029685	AAZ99029; XP_011507833; NP_001014364; ; CCQ43039; Q5D862; AAX12417
BC017974	EAW91703; BAG52959; NP_001135773; BAG52507; CAI45999; ALQ34285; ALQ34287; XP_011515665; BAG60037; ALQ34286; Q5HYA8; ; EAW91701; EAW91702; XP_024303094; AAH32835; XP_006716749; NP_714915
BC034930	-
BC039456	-
BC031625	-
BC025350	
BC019855	-
BC015647	-
BC033225	EAW84619; NP_001308757; Q86XR2; XP_011526083; NP_001308756; NP_001350538; NP_775815; ; XP_011526089; XP_016881942; EAW84616; BAG62749; AAO83575; AAH53606; XP_011526091; XP_016881946; NP_001091994; BAG60355; BAG61856; AAO83574; AAO83576; XP_011526088; XP_016881945; NP_001308755; EAW84617; EAW84618; EAW84620; BAB84895; XP_005259870; EAW84615; BAC04955; XP_016881943; XP_016881944
BC021738	
BC008292	; EAW96848; BAC04897; AAH06135; AAH14976; Q9BRP8; CAD30677; AAH09627; NP_115721; EAW96847; NP_001137325
BC032117	AAH47012; NP_001002913; NP_001332906; NP_001332908; CBF84778; NP_001332907; EAW87686; Q86Y79; ; CBV01429; EAW87685; NP_001332909; CAD35436
BC039721	ABI58225; BAF85662; NP_001171677; ; EAW67282; ABI58226; ABI58227; ABI58230; NP_001171675; NP_001171676; EAW67281; AAH00398; ADO22372; CAG33017; ABI58229; ACI46020; NP_001296360; ACA06040; P68402; AAH19301; BAA19917; XP_016873329; NP_002563; AAH01774; ABI58228
BC020896	; Q5TGI4; NP_001025231; XP_016866339
